user_mood,physical_focus,fitness_level,target_avg_hr,duration_minutes,recommended_sequence
Lethargic,Core,Beginner,104,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Lower Body,Intermediate,120,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Upper Body,Intermediate,122,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Upper Body,Intermediate,123,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Upper Body,Intermediate,123,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Lower Body,Intermediate,123,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Lethargic,Core,Intermediate,124,50,10m Dynamic Stretching (Arm Circles - Leg Swings - Torso Twists) | 30m Light Bodyweight Circuit (Incline Pushups - Bodyweight Squats - Glute Bridges) | 10m Walk (Brisk Pace - Deep Breathing - Posture Check)
Sore,Lower Body,Beginner,106,50,10m Glute Activation (Clamshells - Monster Walks - Glute Bridges) | 35m Heavy Leg Resistance (Goblet Squats - Romanian Deadlifts - Walking Lunges) | 5m Foam Rolling (IT Band - Quads - Calves)
Sore,Lower Body,Intermediate,119,50,10m Glute Activation (Clamshells - Monster Walks - Glute Bridges) | 35m Heavy Leg Resistance (Goblet Squats - Romanian Deadlifts - Walking Lunges) | 5m Foam Rolling (IT Band - Quads - Calves)
Sore,Lower Body,Advanced,135,50,10m Glute Activation (Clamshells - Monster Walks - Glute Bridges) | 35m Heavy Leg Resistance (Goblet Squats - Romanian Deadlifts - Walking Lunges) | 5m Foam Rolling (IT Band - Quads - Calves)
Energetic,Lower Body,Beginner,145,50,10m Glute Activation (Clamshells - Monster Walks - Glute Bridges) | 35m Heavy Leg Resistance (Goblet Squats - Romanian Deadlifts - Walking Lunges) | 5m Foam Rolling (IT Band - Quads - Calves)
Happy,Lower Body,Advanced,146,50,10m Glute Activation (Clamshells - Monster Walks - Glute Bridges) | 35m Heavy Leg Resistance (Goblet Squats - Romanian Deadlifts - Walking Lunges) | 5m Foam Rolling (IT Band - Quads - Calves)
Happy,Lower Body,Advanced,151,50,10m Glute Activation (Clamshells - Monster Walks - Glute Bridges) | 35m Heavy Leg Resistance (Goblet Squats - Romanian Deadlifts - Walking Lunges) | 5m Foam Rolling (IT Band - Quads - Calves)
Angry,Lower Body,Intermediate,156,50,10m Glute Activation (Clamshells - Monster Walks - Glute Bridges) | 35m Heavy Leg Resistance (Goblet Squats - Romanian Deadlifts - Walking Lunges) | 5m Foam Rolling (IT Band - Quads - Calves)
Energetic,Upper Body,Advanced,165,50,10m Jump Rope (Basic Bounce - Alternating Feet - Double Unders) | 30m Heavy Bag/Shadow Boxing (Jab-Cross combos - Bob & Weave - Hooks/Uppercuts) | 10m Core & Cooldown (Plank - Russian Twists - Shoulder Stretch)
